company,model_name,colour,operating_system,Processor,processor_company,ram/storage,delivery,price_in_Euro
HP,"17-cn0528sa 17.3"" Laptop ",black,Windows 11,Intel Pentium Gold 7505 Processor,Intel,4/128,yes,449
SAMSUNG,"Galaxy Book Go 14"" Laptop ",mystic silver,Free Upgrade to Windows 11,Qualcomm Snapdragon 7C Processor,Qualcomm,4/128,yes,388
ACER,"Swift 3 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/1000,yes,1079
HP,"Pavilion 14-dv0598sa 14"" Laptop ",white & rose gold,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,8/256,yes,659
HP,"Pavilion x360 14-dy0517sa 14"" 2 in 1 Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,839
HP,"15s-eq2504sa 15.6"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8/256,yes,619
ACER,"Aspire 3 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 5 3500U Processor,AMD,8/256,yes,509
LENOVO,"IdeaPad 3i 11.6"" Chromebook ",black,Chrome OS,Intel Celeron N4020 Processor,Intel,4/256,yes,219
HP,"14a-na0502sa  14"" Chromebook ",white,Chrome OS,Intel Pentium Silver N5030 processor,Intel,8/128,yes,449
ACER,"Spin 513 13.3"" 2 in 1 Chromebook ",silver,Chrome OS,Qualcomm SC7180 Processor,Qualcomm,4/64,yes,399
ACER,"314 Touch 14"" Chromebook ",silver,Chrome OS,MediaTek MT8183C Processor,MediaTek,4/128,yes,419
LENOVO,"IdeaPad 3i 14"" Laptop ",blue,Free Upgrade to Windows 11,Intel Core i7-1165G7 Processor,Intel,8/256,yes,839
LENOVO,"IdeaPad 5i 14"" Laptop ",graphite grey,Windows 10 S,Intel Core i3-1005G1 Processor,Intel,8/128,yes,539.99
HP,"Stream 14s-dq0504sa 14"" Laptop ",black,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4/64,yes,299
APPLE,"MacBook Pro 13.3"" (2020) ",silver,macOS 11.0 Big Sur,Apple M1 chip,Apple,8/256,yes,1419
LENOVO,"Yoga Slim 7i Pro 14"" Laptop ",grey,Free Upgrade to Windows 11,Intel Evo platform,Intel,16/256,yes,1139
LENOVO,"IdeaPad 3 15.6"" Laptop ",black,Free Upgrade to Windows 11,AMD A3020e Processor,AMD,4/128,yes,309
ASUS,"VivoBook Pro M3500QC 15.6"" Laptop ",blue,Free Upgrade to Windows 11,AMD Ryzen 9 5900HX Processor,AMD,16/1000,yes,1629
ACER,"Swift 3 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,959
LENOVO,"IdeaPad Slim 1i 11.6"" Laptop ",blue,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4/64,yes,224.99
LENOVO,"IdeaPad 3i 11.6"" Chromebook ",black,Chrome OS,Intel Celeron N4020 Processor,Intel,4/64,yes,239
ACER,"Aspire 5 A515-45 15.6"" Laptop ",black,Free Upgrade to Windows 11,AMD Ryzen 3 5300U Processor,AMD,8/128,yes,539
ACER,"Aspire 5 A517-52G 17.3"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,16/256,yes,999
ACER,"Swift 3 16.1"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i7-11370H Processor,Intel,8/1000,yes,959
